Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
239151034,Monsters in the Archives: My Year of Fear with Stephen King,Caroline Bicks,"Bicks, Caroline",,"=""0593736729""","=""9780593736722""",0,Hogarth,Hardcover,304,2026,2026,,2026/04/02,to-read,to-read (#267),to-read,,,,0,0
145624514,"Everyone Who Is Gone Is Here: The United States, Central America, and the Making of a Crisis",Jonathan Blitzer,"Blitzer, Jonathan",,"=""1984880802""","=""9781984880802""",0,Penguin Press,Hardcover,544,2024,2024,,2024/12/28,"to-read, top-10, library-unavailable","to-read (#161), top-10 (#2), library-unavailable (#99)",to-read,,,,0,0
237828922,The Running Man,Richard  Bachman,"Bachman, Richard",Stephen  King,"=""1668208121""","=""9781668208120""",0,Scribner,Paperback,352,2025,1982,,2025/11/04,"to-read, top-10, library-unavailable","to-read (#233), top-10 (#6), library-unavailable (#98)",to-read,,,,0,0
240019533,The Break-Up Retreat,Camilla Sten,"Sten, Camilla",,"=""1250868521""","=""9781250868527""",0,Minotaur Books,Hardcover,320,2026,2026,,2026/03/25,to-read,to-read (#266),to-read,,,,0,0
231405494,Best Offer Wins,Marisa Kashino,"Kashino, Marisa",,"=""1250400554""","=""9781250400550""",5.0,Celadon Books,ebook,275,2025,2025,2026/03/17,2025/11/07,all-time-faves,all-time-faves (#106),read,,,,1,0
230424523,"The Midnight Lawyer (Hank Luger Legal Thrillers, #1)",J.J.  Miller,"Miller, J.J.",,"=""""","=""""",0,Innkeeper Publishing,Kindle Edition,396,2025,,,2026/03/19,to-read,to-read (#265),to-read,,,,0,0
25430695,Last Night in Montreal,Emily St. John Mandel,"Mandel, Emily St. John",,"=""1101911956""","=""9781101911952""",0,Vintage,Paperback,240,2015,2009,,2026/03/18,to-read,to-read (#264),to-read,,,,0,0
235992561,This Land Is Your Land: A Road Trip Through U.S. History,Beverly Gage,"Gage, Beverly",,"=""1668033100""","=""9781668033104""",0,Simon & Schuster,Hardcover,352,2026,2026,,2026/03/18,to-read,to-read (#263),to-read,,,,0,0
233411702,Planet Money: A Guide to the Economic Forces That Shape Your Life,Alex Mayyasi,"Mayyasi, Alex",Hosts of NPR's Planet Money,"=""1324078774""","=""9781324078777""",0,W. W. Norton & Company,Hardcover,336,2026,2026,,2026/03/18,to-read,to-read (#262),to-read,,,,0,0
240019780,The Anniversary,Alex Finlay,"Finlay, Alex",,"=""1250360757""","=""9781250360755""",0,Minotaur Books,Hardcover,325,2026,2026,,2026/03/18,to-read,to-read (#261),to-read,,,,0,0
240187298,Dissection of a Murder,Jo Murray,"Murray, Jo",,"=""""","=""9798217177004""",0,Dutton,Paperback,416,2026,2026,,2026/03/18,to-read,to-read (#260),to-read,,,,0,0
